title;content;excerpt;status;type;expires;discount_value;code;printable_url;destination_url;store;category;date;exclusive;author;store_name;store_slug;store_description;store_parent;store_url;store_aff_url;store_heading;store_is_featured;store_extra_info;store_image
10% de desconto em Edições Comemorativas de Harry Potter 20 anos no Submarino;;;publish;code;29/04/2020 23:59:00;10;HARRYPOTTER;https://www.submarino.com.br/;https://redir.lomadee.com/v2/98bab17112;Submarino ;Livros;;;;;;;;;;;;;
6% de desconto cumulativo com outras promoções + Frete Grátis em TODOS PRODUTOS na UNIFLORES;;;publish;code;31/12/2020 23:59:00;6;vip2020;https://www.uniflores.com.br/;https://redir.lomadee.com/v2/98e2d58e9e;Uniflores;Mais Ofertas;;;;;;;;;;;;;
5% de desconto na primeira compra na Vení Perfumaria;;;publish;code;30/04/2020 23:59:00;5;LMD5;https://www.veni.com.br/;https://redir.lomadee.com/v2/9844cb4d91;Veni perfumaria;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto no Ômega 3 concentrado e selo internacional da Vhita;;;publish;code;30/11/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/982ed69df7;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto no Collagen, o colágeno para a pele da Vhita;;;publish;code;23/12/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/98e0d7183a;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto no AGIL PLUS, o colágeno tipo II da Vhita;;;publish;code;23/12/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/984a7c3fe5;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto no BCAA 2:1:1 com tecnologia japonesa da Vhita;;;publish;code;23/12/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/9869d35dfe;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto no Body, o colágeno para músculo da Vhita;;;publish;code;23/10/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/982c43603e;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto no Whey Protein da Vhita;;;publish;code;23/10/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/9880b40224;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto na loja toda da Vhita;;;publish;code;23/10/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/9807bb38fa;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto da vitamina C da Vhita;;;publish;code;23/10/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/98e222575d;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto da vitamina D da Vhita;;;publish;code;23/10/2020 23:59:00;10;10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/985472f009;Vhita;Saúde e Beleza;;;;;;;;;;;;;
Frete grátis acima de R$ 220,00 na Vhita;;;publish;sale;23/10/2020 23:59:00;0;URL CUPONADA;https://www.vhita.com.br/;https://redir.lomadee.com/v2/989d80d16a;Vhita;Saúde e Beleza;;;;;;;;;;;;;
R$ 10,00 de desconto em compras acima de R$ 80,00 na Vhita;;;publish;code;23/10/2020 23:59:00;10;R10AF;https://www.vhita.com.br/;https://redir.lomadee.com/v2/989d80d16a;Vhita;Saúde e Beleza;;;;;;;;;;;;;
10% OFF para Ômega, Collagen, Vit C e Vit D na Vhita;;;publish;code;30/04/2020 23:59:00;10;IMUNIDADE10;https://www.vhita.com.br/;https://redir.lomadee.com/v2/9807bb38fa;Vhita;Saúde e Beleza;;;;;;;;;;;;;
15% de desconto;;;publish;code;30/05/2020 13:59:00;15;FGZAFUL;https://br.zaful.com/;https://redir.lomadee.com/v2/98d203df0f;Zaful;Moda e Acessórios;;;;;;;;;;;;;
$20 OFF $3,$40 OFF $6,$60 OFF $9,$80 OFF $12,$100 OFF $15,$120 OFF $18,$140 OFF $21,$160 OFF $24,$200 OFF $30,$300 OFF $45;;;publish;code;29/06/2020 13:59:00;45;ZFIRST;https://br.zaful.com/;https://redir.lomadee.com/v2/98c40cde53;Zaful;Moda e Acessórios;;;;;;;;;;;;;
15% de desconto;;;publish;code;30/12/2020 13:59:00;15;ZFSHOP;https://br.zaful.com/;https://redir.lomadee.com/v2/98c40cde53;Zaful;Moda e Acessórios;;;;;;;;;;;;;
