title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image,,,,,
10% Em Equipamentos desta lista,,,,Cupom,31/12/16,EQUIP10OFF,,http://v2.afilio.com.br/tracker.php?banid=4148927&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
10% Off em Mochilas,,,,Cupom,31/12/16,10MOCHILAS,,http://v2.afilio.com.br/tracker.php?banid=4148928&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
15% em Acess,,,,Cupom,31/12/16,15ACESTREINO,,http://v2.afilio.com.br/tracker.php?banid=4148929&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Compre e Ganhe,,,,Cupom,31/12/16,GANHOU50,,http://v2.afilio.com.br/tracker.php?banid=4148930&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Ganhe 10% de desconto na primeira compra! Aproveite! ,,,,Cupom,31/12/16,BEMVINDORCH,,http://v2.afilio.com.br/tracker.php?banid=4240692&campid=44518;1843&siteid=49553,Richards,,,,,Richards,,,,,,,,,,,,,,,,,,,,
Periféricos de Informática com 4% OFF,,,,Cupom,1/11/16,PER4OFF,,http://v2.afilio.com.br/tracker.php?banid=4263866&campid=44518;1509&siteid=49553,Mega Mamute,,,,,Mega Mamute,,,,,,,,,,,,,,,,,,,,
CUPOM: Acessórios de telefonia com 4% OFF,,,,Cupom,1/11/16,ACE4OFF,,http://v2.afilio.com.br/tracker.php?banid=4263868&campid=44518;1509&siteid=49553,Mega Mamute,,,,,Mega Mamute,,,,,,,,,,,,,,,,,,,,
Cupom: RELOGIO15 | Ganhe 15% OFF Na Categoria De Relógios!,,,,Cupom,10/11/16,RELOGIO15 ,,http://v2.afilio.com.br/tracker.php?banid=4264035&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Cupom: 5OFFPNEUS | Ganhe 5% Off Na Categoria PNEUS!,,,,Cupom,10/11/16,5OFFPNEUS,,http://v2.afilio.com.br/tracker.php?banid=4264037&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Cupom: AUTO10 | Ganhe 10% OFF Na Categoria De Som Automotivo E GPS,,,,Cupom,10/11/16,AUTO10,,http://v2.afilio.com.br/tracker.php?banid=4264038&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Cupom: 5OFFPRIMEIRACOMPRA | Ganhe 5% Off em qualquer compra,,,,Cupom,10/11/16,5OFFPRIMEIRACOMPRA,,http://v2.afilio.com.br/tracker.php?banid=4264039&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Cupom: BELEZA10 | 10% Off em em produtos de beleza,,,,Cupom,10/11/16,BELEZA10,,http://v2.afilio.com.br/tracker.php?banid=4264040&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Plano VIP com 81% de desconto aplicado no preço cheio do site,,,,Cupom,31/12/16,OVIP80OFF,,http://v2.afilio.com.br/tracker.php?banid=4264118&campid=44518;1138&siteid=49553,Descomplica,,,,,Descomplica,,,,,,,,,,,,,,,,,,,,
Compre 3 produtos – GANHE 20% OFF,,,,Cupom,31/10/16,QUERO20,,http://v2.afilio.com.br/tracker.php?banid=4264523&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Desodorante Dove Leve 3 e pague 2 com frete grátis! ,,,,Cupom,31/10/16,FRETEDOVE,,http://v2.afilio.com.br/tracker.php?banid=4264542&campid=44518;1719&siteid=49553,Drogaria Onofre,,,,,Drogaria Onofre,,,,,,,,,,,,,,,,,,,,
Kit Mini câmera Drone vermelho e Relógio Smart Branco = R$139,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264638&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit de Mochila e Relógio esporte DE: 184,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264639&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit Eletrônicos de Relógio executivo e fone de ouvido  DE: R$212,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264641&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit Esportivo Óculos de sol com fone integrado buetooth e relógio analógico masculino DE: R$228,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264642&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit Corrida: DE: R$ 143,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264643&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit Smart Executivo – Relógio  Fone bluetooth! DE R$ 390,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264644&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit Maquiagem – Pincéis + massageador   esponja! DE R$: 256,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264645&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit de Mini Drone branco e Relógio Smart Preto: DE R$ 390,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264646&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit Escova Alisadora vermelho: DE R$ 113,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264647&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Kit Cama Inflável,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=4264648&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,,,,,,
Frete grátis em compras acima de R$250! Aproveite já! ,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4265381&campid=44518;2040&siteid=49553,Intimissimi,,,,,Intimissimi,,,,,,,,,,,,,,,,,,,,
Tanga em renda por apenas R$49!,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265391&campid=44518;2040&siteid=49553,Intimissimi,,,,,Intimissimi,,,,,,,,,,,,,,,,,,,,
Calcinha Reta de Cintura Alta por apenas R$29,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265392&campid=44518;2040&siteid=49553,Intimissimi,,,,,Intimissimi,,,,,,,,,,,,,,,,,,,,
Cueca Homem com Estampado Mapa Náutico por apenas R$45,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265393&campid=44518;2040&siteid=49553,Intimissimi,,,,,Intimissimi,,,,,,,,,,,,,,,,,,,,
Boxer com Botão em Algodão Supima somente R$55,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265394&campid=44518;2040&siteid=49553,Intimissimi,,,,,Intimissimi,,,,,,,,,,,,,,,,,,,,
Ganhe 120 em compras acima de 250 - Cupom: ZAT120 *Produtos da lista,,,,Cupom,31/12/16,ZAT120,,http://v2.afilio.com.br/tracker.php?banid=4265414&campid=44518;1785&siteid=49553,Zattini,,,,,Zattini,,,,,,,,,,,,,,,,,,,,
Tem novidade na coleção de verão! Confira as estampas florais que vão tornar sua praia mais colorida!,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4265430&campid=44518;1844&siteid=49553,Salinas,,,,,Salinas,,,,,,,,,,,,,,,,,,,,
Desconto de 20% em Probiótica - Código: PROB20 *Apenas na lista de Produtos,,,,Cupom,31/10/16,PROB20,,http://v2.afilio.com.br/tracker.php?banid=4265452&campid=44518;577&siteid=49553,Netshoes,,,,,Netshoes,,,,,,,,,,,,,,,,,,,,
Desconto de 5% em Bikes - Codigo: BIFITNESS *Apenas na lista de Produtos,,,,Cupom,31/10/16,BIFITNESS,,http://v2.afilio.com.br/tracker.php?banid=4265454&campid=44518;577&siteid=49553,Netshoes,,,,,Netshoes,,,,,,,,,,,,,,,,,,,,
Especial Réveillon - aproveite os pacotes do feriado!,,,,Oferta,1/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266054&campid=44518;505&siteid=49553,Hotel Urbano,,,,,Hotel Urbano,,,,,,,,,,,,,,,,,,,,
Especial Natal - decoração com até 30% OFF   frete grátis sul e sudeste,,,,Oferta,2/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266074&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Móveis - Durma Bem - Colchões com até 50% de Desconto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266099&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Acabaram de Chegar - Lançamentos com 10% Off   FG SUL e SS nas compras acima de 499,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266102&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Especial Escritório com 12% Off,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266104&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Area Externa com 10%OFF,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266106&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Móveis - Especial Salas com até 50% Off,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266108&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Colchões e Cabeceiras e Calçadeiras com até 40% de desconto.,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266110&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Especial Cozinha com até 40% Off   3P,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266112&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Liquida Sala - Racks e estantes com até 40% off.,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266114&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Esquenta Natal - Produtos presenteaveis com até 40% de Desconto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266116&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Geladeiras com até 15% de desconto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266118&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Especial Fogões com até 15% de desconto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266120&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Máquinas de Lavar com até 15% de desconto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266122&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
5% de desconto no Boleto para Ar Split,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266124&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Produtos Electrolux com até 20% de desconto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266126&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Linha Brastemp com até 20% de desconto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266128&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Esquenta Black Friday: as melhores ofertas de UD com até 50% OFF,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266130&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Saldão UD com até 50% OFF | últimas peças,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266133&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
TOP 20 Eletroportateis com 5% de desconto no Boleto,,,,Oferta,4/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266136&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Esquenta Black Friday,,,,Oferta,7/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266149&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Cupom: 10OFFSMARTPHONE | 10% OFF no parcelado nos Smartphones da seleção.  *um cupom por CPF,,,,Cupom,31/10/16,10OFFSMARTPHONE,,http://v2.afilio.com.br/tracker.php?banid=4266312&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
20% de desconto em vestidos do bazar com o codigo PROMOBAZAR.,,,,Cupom,31/10/16,PROMOBAZAR,,http://v2.afilio.com.br/tracker.php?banid=4266400&campid=44518;1171&siteid=49553,Cantão,,,,,Cantão,,,,,,,,,,,,,,,,,,,,
Frete Grátis Sul e Sudeste na categoria de Smartphones,,,,Oferta,1/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266823&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
Cupom de 10% de desconto e Frete Grátis Brasil na Categoria de Iphones,,,,Cupom,1/11/16,FONE10,,http://v2.afilio.com.br/tracker.php?banid=4266832&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
