title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
5% off nas compras acima de R$250,,,,Cupom,-,CENTAURO5OFF,,http://tracking.rtkrsecure.com/aff_c?offer_id=310&aff_id=40927&file_id=26061&url=http%3A%2F%2Fwww.centauro.com.br%2Fpromocao%3Futm_source%3Dparcerias_weach%26utm_medium%3Dpublisher_banner%26utm_campaign%3Dparcerias_weach_2016_10cupons%26nextUrl%3Dhttp%3A%2F%2Fesportes.centauro.com.br%2Fnav%2Fcentauro%2Fcentauro%2F0%26origem%3DWeach,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
15% off em todo o site,,,,Cupom,-,15OFF2016,,http://tracking.rtkrsecure.com/aff_c?offer_id=310&aff_id=40927&file_id=26063&url=http%3A%2F%2Fwww.centauro.com.br%2Fpromocao%3Futm_source%3Dparcerias_weach%26utm_medium%3Dpublisher_banner%26utm_campaign%3Dparcerias_weach_2016_10cupons%26nextUrl%3Dhttp%3A%2F%2Fesportes.centauro.com.br%2Fnav%2Fcentauro%2Fcentauro%2F0%26origem%3DWeach,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
20% nas compas acima de R$150,,,,Cupom,-,20ACIMA350,,http://tracking.rtkrsecure.com/aff_c?offer_id=310&aff_id=40927&file_id=26065&url=http%3A%2F%2Fwww.centauro.com.br%2Fpromocao%3Futm_source%3Dparcerias_weach%26utm_medium%3Dpublisher_banner%26utm_campaign%3Dparcerias_weach_2016_10cupons%26nextUrl%3Dhttp%3A%2F%2Fesportes.centauro.com.br%2Fnav%2Fcentauro%2Fcentauro%2F0%26origem%3DWeach,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
10%off em monitores cardÌacos,,,,Cupom,-,10MONITORES,,http://tracking.rtkrsecure.com/aff_c?offer_id=310&aff_id=40927&file_id=26067&url=http%3A%2F%2Fwww.centauro.com.br%2Fpromocao%3Futm_source%3Dparcerias_weach%26utm_medium%3Dpublisher_banner%26utm_campaign%3Dparcerias_weach_2016_10%26nextUrl%3Dhttp%3A%2F%2Fesportes.centauro.com.br%2Fppc%2Fparceria_monitores_relogios%26origem%3DWeach,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
15%off em tenis nike e adidas,,,,Cupom,-,15NIKEADIDAS,,http://tracking.rtkrsecure.com/aff_c?offer_id=310&aff_id=40927&file_id=26069&url=http%3A%2F%2Fwww.centauro.com.br%2Fpromocao%3Futm_source%3Dparcerias_weach%26utm_medium%3Dpublisher_banner%26utm_campaign%3Dparcerias_weach_2016_10%26nextUrl%3Dhttp%3A%2F%2Fesportes.centauro.com.br%2Fppc%2F10off-nike-adidas-parcerias%26origem%3DWeach,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
10% off em mochilas,,,,Cupom,-,10MOCHILAS,,http://tracking.rtkrsecure.com/aff_c?offer_id=310&aff_id=40927&file_id=26071&url=http%3A%2F%2Fwww.centauro.com.br%2Fpromocao%3Futm_source%3Dparcerias_weach%26utm_medium%3Dpublisher_banner%26utm_campaign%3Dparcerias_weach_2016_10%26nextUrl%3Dhttp%3A%2F%2Fesportes.centauro.com.br%2Fppc%2Fmochilas-10off-parcerias%26origem%3DWeach,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
15% off nos melhores tenis de corrida,,,,Cupom,-,CORRIDA15,,http://tracking.rtkrsecure.com/aff_c?offer_id=310&aff_id=40927&file_id=26073&url=http%3A%2F%2Fwww.centauro.com.br%2Fpromocao%3Futm_source%3Dparcerias_weach%26utm_medium%3Dpublisher_banner%26utm_campaign%3Dparcerias_weach_2016_10%26nextUrl%3Dhttp%3A%2F%2Fesportes.centauro.com.br%2Fppc%2Fparcerias-calcados-running%26origem%3DWeach,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
R$50 off na primeira compra,,,,Cupom,-,ELUXWEACH_50,,http://tracking.weachgroup.com/aff_c?offer_id=1009&aff_id=40927&file_id=26057&url=http%3A%2F%2Fservico.addintelligence.com.br%2Fcontentserver%2FElectrolux.cli%2Fredir.aspx%3Fidtag%3D196600cc-6050-4826-8a3b-2ca11b5e2de9,Electrolux,,,,,Electrolux,,,,,,,,,,,,,,,
2%off na linha Embutir,,,,Cupom,-,ELECTROLUXWEACH,,http://tracking.weachgroup.com/aff_c?offer_id=1009&aff_id=40927&file_id=26059&url=http%3A%2F%2Fservico.addintelligence.com.br%2Fcontentserver%2FElectrolux.cli%2Fredir.aspx%3Fidtag%3D17abd919-fb30-484e-82c1-993e3dc3a44f,Electrolux,,,,,Electrolux,,,,,,,,,,,,,,,
15% off em todo o site (Ò cumulativo c/ outras promos),,,,Cupom,10/18/2016,AFILIADOS15,,http://tracking.rtkrsecure.com/aff_c?offer_id=38&aff_id=40927&file_id=25643&url=http%3A%2F%2Floja.eudora.com.br%2F%3Futm_source%3Dweach%26utm_medium%3Daf-cupom%26utm_campaign%3D15-desconto%26utm_term%3D%7Baffiliate_id%7D,Eudora,,,,,Eudora,,,,,,,,,,,,,,,
Compre 3 maquiagens e pague 2,,,,Cupom,10/18/2016,GANHE1,,http://tracking.rtkrsecure.com/aff_c?offer_id=38&aff_id=40927&file_id=25645&url=http%3A%2F%2Floja.eudora.com.br%2Fmaquiagem%2F%3Futm_source%3Dweach%26utm_medium%3Daf-cupom%26utm_campaign%3Dleve-3-pague-2-make%26utm_term%3D%7Baffiliate_id%7D,Eudora,,,,,Eudora,,,,,,,,,,,,,,,
Desconto progressivo em maquiagem (Ò cumulativo com outras promos),,,,Cupom,10/18/2016,COMPREGANHE,,http://tracking.rtkrsecure.com/aff_c?offer_id=38&aff_id=40927&file_id=25647&url=http%3A%2F%2Floja.eudora.com.br%2Fmaquiagem%2F%3Futm_source%3Dweach%26utm_medium%3Daf-cupom%26utm_campaign%3Dleve-3-pague-2-make%26utm_term%3D%7Baffiliate_id%7D,Eudora,,,,,Eudora,,,,,,,,,,,,,,,
Desconto progressivo em produtos da vitrine (Ò cumulativo c/ outras promos),,,,Cupom,10/18/2016,COMPREGANHE,,http://tracking.rtkrsecure.com/aff_c?offer_id=38&aff_id=40927&file_id=25649&url=http%3A%2F%2Floja.eudora.com.br%2F%3Futm_source%3Dweach%26utm_medium%3Daf-cupom%26utm_campaign%3Ddesconto-progressivo%26utm_term%3D%7Baffiliate_id%7D,Eudora,,,,,Eudora,,,,,,,,,,,,,,,
10 % desconto,,,,Cupom,-,10DESCONTO,,http://tracking.rtkrsecure.com/aff_c?offer_id=1079&aff_id=40927&url_id=10517&file_id=25855&url=http%3A%2F%2Fwww.eurorelogios.com.br%3Futm_source%3Dinsightmedia,Euro RelÛgios,,,,,Euro RelÛgios,,,,,,,,,,,,,,,
