title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
10% Off em Mochilas,,,,Cupom,31/12/16,10MOCHILAS,,http://v2.afilio.com.br/tracker.php?banid=4148928&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
15% em Acess,,,,Cupom,31/12/16,15ACESTREINO,,http://v2.afilio.com.br/tracker.php?banid=4148929&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Compre e Ganhe,,,,Cupom,31/12/16,GANHOU50,,http://v2.afilio.com.br/tracker.php?banid=4148930&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Ganhe 10% de desconto na primeira compra! Aproveite! ,,,,Cupom,31/12/16,BEMVINDORCH,,http://v2.afilio.com.br/tracker.php?banid=4240692&campid=44518;1843&siteid=49553,,,,,,Richards,,,,,,,,,,,,,,,
Cupom: 5OFFPNEUS | Ganhe 5% Off Na Categoria PNEUS!,,,,Cupom,10/11/16,5OFFPNEUS,,http://v2.afilio.com.br/tracker.php?banid=4264037&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Cupom: AUTO10 | Ganhe 10% OFF Na Categoria De Som Automotivo E GPS,,,,Cupom,10/11/16,AUTO10,,http://v2.afilio.com.br/tracker.php?banid=4264038&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Cupom: 5OFFPRIMEIRACOMPRA | Ganhe 5% Off em qualquer compra,,,,Cupom,10/11/16,5OFFPRIMEIRACOMPRA,,http://v2.afilio.com.br/tracker.php?banid=4264039&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Cupom: BELEZA10 | 10% Off em em produtos de beleza,,,,Cupom,10/11/16,BELEZA10,,http://v2.afilio.com.br/tracker.php?banid=4264040&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Plano VIP com 81% de desconto aplicado no preço cheio do site,,,,Cupom,31/12/16,OVIP80OFF,,http://v2.afilio.com.br/tracker.php?banid=4264118&campid=44518;1138&siteid=49553,,,,,,Descomplica,,,,,,,,,,,,,,,
Frete grátis em compras acima de R$250! Aproveite já! ,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4265381&campid=44518;2040&siteid=49553,,,,,,Intimissimi,,,,,,,,,,,,,,,
